TOMO 09 — COLECCIONABLES

Cabezones, revistas, holocintas, notas, llaves, terminales y objetos únicos.

Edición 5.1 — Versión refinada para lectura de libro

Nota editorial: esta versión conserva la información útil de las iteraciones anteriores, unifica fichas heredadas bajo IDs maestros y retira del cuerpo principal títulos técnicos repetidos, separadores visuales y marcas internas de trabajo. Las fuentes, alias y notas de trazabilidad no se pierden: se conservan en apéndice cuando corresponde.
## Validación final de coleccionables

Los coleccionables se publican con tres estados posibles: validado, operativo de mesa o pendiente de validación fina. No se inventan nombres oficiales cuando no estén confirmados.

| Estado | Uso en libro |
|---|---|
| Validado | aparece como ficha canónica completa |
| Operativo de mesa | puede usarse como pista, llave, nota o terminal sin nombre oficial |
| Pendiente | se conserva para revisión, no se elimina |

### Uso jugable
Un coleccionable debe indicar al menos: ID COL, tipo, ubicación U, subzona o punto físico, uso, riesgo, recompensa y cruce con misión/facción si aplica.

TOMO 09 — COLECCIONABLES: USO JUGABLE Y PISTAS

1. TIPO DE USO JUGABLE
Cada COL debe clasificarse como minimo en uno de estos usos:
- Bonus: entrega efecto mecanico.
- Pista: abre informacion o ruta.
- Lore: aporta contexto sin efecto directo.
- Mision: requerido para avanzar o cerrar objetivo.
- Llave/Acceso: abre puerta, terminal, caja, ruta o subzona.
- Recompensa: objeto unico, revista, cabezon, holocinta o documento valioso.

2. CUANDO UN COLECCIONABLE NO TIENE NOMBRE OFICIAL VALIDADO
No inventar nombre canonico. Usar:
COL-xxxx — Registro operativo de mesa
Nombre oficial: REQUIERE_VALIDACION
Ubicacion: U-xxxx si existe
Subzona: segun Tomo 06
Uso: pista/lore/mision/llave/recompensa

3. TERMINALES, NOTAS Y HOLOCINTAS EN MISIONES
Si una mision pide un registro, usar Tomo 09 como fuente de ID. Si no existe ficha, crear alias pendiente en vez de usar ID de bestiario, arma o ubicacion.


Criterio aplicado:
- No se elimina ninguna ficha COL previa; este bloque añade una capa operativa para los pendientes detectados en I4.6.
- Tomo 01 y Tomo 10 permanecen intactos y fuera de esta entrega.
- Las entradas de esta sección se derivan del mapa táctico textual del Tomo 06: ubicación U, subzona, terminal/objeto, AP e interacción.
- Cuando el Atlas dice 'holocinta/nota/entrada posible', el nombre es operativo y no canónico; no se inventa un nombre oficial de lore.
- Si más adelante se valida el nombre oficial de una holocinta, nota, llave o terminal, se reemplaza el nombre operativo conservando el ID COL como alias.
- AP significa siempre Puntos de Acción.

### Tabla operativa I4.7
| ID | Tipo operativo | Nombre operativo / estado | Ubicación Tomo 06 | ID U | Subzona exacta | Soporte / interacción | AP recomendado | Estado |
| COL-0358 | Terminal + Holocinta/Nota/Entrada | Registro local de Mass Pike Tunnel west — Oficinas o sala de seguridad | Mass Pike Tunnel west | U-0147 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0359 | Terminal + Holocinta/Nota/Entrada | Registro local de Mass Pike Tunnel east — Vestibulo o control de acceso | Mass Pike Tunnel east | U-0148 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0360 | Terminal + Holocinta/Nota/Entrada | Registro local de Mass Pike Tunnel east — Sala tecnica / generadores | Mass Pike Tunnel east | U-0148 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0361 | Terminal + Holocinta/Nota/Entrada | Registro local de Mass Pike Tunnel east — Oficinas o sala de seguridad | Mass Pike Tunnel east | U-0148 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0362 | Terminal + Holocinta/Nota/Entrada | Registro local de Boston Police rationing site — Punto de control exterior | Boston Police rationing site | U-0149 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0363 | Terminal + Holocinta/Nota/Entrada | Registro local de Boston Police rationing site — Sala de mando / comunicaciones | Boston Police rationing site | U-0149 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0364 | Terminal + Holocinta/Nota/Entrada | Registro local de Boston Police rationing site — Torretas / sensores / terminales | Boston Police rationing site | U-0149 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0365 | Terminal + Holocinta/Nota/Entrada | Registro local de NH&M Freight Depot — Recepcion u oficina | NH&M Freight Depot | U-0150 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0366 | Terminal + Holocinta/Nota/Entrada | Registro local de NH&M Freight Depot — Laboratorio o zona tecnica | NH&M Freight Depot | U-0150 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0367 | Terminal + Holocinta/Nota/Entrada | Registro local de Relay tower 0SC-527 — Vestibulo / recepcion | Relay tower 0SC-527 | U-0152 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0368 | Terminal + Holocinta/Nota/Entrada | Registro local de Relay tower 0SC-527 — Cuartos u oficinas | Relay tower 0SC-527 | U-0152 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0369 | Terminal + Holocinta/Nota/Entrada | Registro local de South Boston military checkpoint — Punto de control exterior | South Boston military checkpoint | U-0154 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0370 | Terminal + Holocinta/Nota/Entrada | Registro local de South Boston military checkpoint — Sala de mando / comunicaciones | South Boston military checkpoint | U-0154 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0371 | Terminal + Holocinta/Nota/Entrada | Registro local de South Boston military checkpoint — Torretas / sensores / terminales | South Boston military checkpoint | U-0154 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0372 | Terminal + Holocinta/Nota/Entrada | Registro local de Fallon's Department Store (West Roxbury township) — Oficina o edificio principal | Fallon's Department Store (West Roxbury township) | U-0156 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0373 | Terminal + Holocinta/Nota/Entrada | Registro local de Milton General Hospital — Vestibulo / recepcion | Milton General Hospital | U-0157 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0374 | Terminal + Holocinta/Nota/Entrada | Registro local de Milton General Hospital — Cuartos u oficinas | Milton General Hospital | U-0157 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0375 | Terminal + Holocinta/Nota/Entrada | Registro local de West Roxbury station — Vestibulo o control de acceso | West Roxbury station | U-0158 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0376 | Terminal + Holocinta/Nota/Entrada | Registro local de West Roxbury station — Sala tecnica / generadores | West Roxbury station | U-0158 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0377 | Terminal + Holocinta/Nota/Entrada | Registro local de West Roxbury station — Oficinas o sala de seguridad | West Roxbury station | U-0158 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0378 | Terminal + Holocinta/Nota/Entrada | Registro local de Shaw High School — Vestibulo / recepcion | Shaw High School | U-0159 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0379 | Terminal + Holocinta/Nota/Entrada | Registro local de Shaw High School — Cuartos u oficinas | Shaw High School | U-0159 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0380 | Terminal + Holocinta/Nota/Entrada | Registro local de Suffolk County Charter School — Vestibulo / recepcion | Suffolk County Charter School | U-0163 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0381 | Terminal + Holocinta/Nota/Entrada | Registro local de Suffolk County Charter School — Cuartos u oficinas | Suffolk County Charter School | U-0163 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0382 | Terminal + Holocinta/Nota/Entrada | Registro local de Quincy Quarries — Recepcion u oficina | Quincy Quarries | U-0165 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0383 | Terminal + Holocinta/Nota/Entrada | Registro local de Quincy Quarries — Laboratorio o zona tecnica | Quincy Quarries | U-0165 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0384 | Terminal + Holocinta/Nota/Entrada | Registro local de Wilson Atomatoys factory — Recepcion u oficina | Wilson Atomatoys factory | U-0167 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0385 | Terminal + Holocinta/Nota/Entrada | Registro local de Wilson Atomatoys factory — Laboratorio o zona tecnica | Wilson Atomatoys factory | U-0167 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0386 | Terminal + Holocinta/Nota/Entrada | Registro local de Quincy Police Station — Vestibulo o control de acceso | Quincy Police Station | U-0169 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0387 | Terminal + Holocinta/Nota/Entrada | Registro local de Quincy Police Station — Sala tecnica / generadores | Quincy Police Station | U-0169 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0388 | Terminal + Holocinta/Nota/Entrada | Registro local de Quincy Police Station — Oficinas o sala de seguridad | Quincy Police Station | U-0169 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0389 | Terminal + Holocinta/Nota/Entrada | Registro local de Peabody house — Vestibulo / recepcion | Peabody house | U-0170 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0390 | Terminal + Holocinta/Nota/Entrada | Registro local de Peabody house — Cuartos u oficinas | Peabody house | U-0170 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0391 | Terminal + Holocinta/Nota/Entrada | Registro local de Poseidon Energy — Recepcion u oficina | Poseidon Energy | U-0172 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0392 | Terminal + Holocinta/Nota/Entrada | Registro local de Poseidon Energy — Laboratorio o zona tecnica | Poseidon Energy | U-0172 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0393 | Terminal + Holocinta/Nota/Entrada | Registro local de Wreck of the FMS Northern Star — Oficina o edificio principal | Wreck of the FMS Northern Star | U-0174 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0394 | Terminal + Holocinta/Nota/Entrada | Registro local de Cambridge Police Station — Vestibulo o control de acceso | Cambridge Police Station | U-0177 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0395 | Terminal + Holocinta/Nota/Entrada | Registro local de Cambridge Police Station — Sala tecnica / generadores | Cambridge Police Station | U-0177 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0396 | Terminal + Holocinta/Nota/Entrada | Registro local de Cambridge Police Station — Oficinas o sala de seguridad | Cambridge Police Station | U-0177 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0397 | Terminal + Holocinta/Nota/Entrada | Registro local de Collegiate administration building — Vestibulo / recepcion | Collegiate administration building | U-0178 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0398 | Terminal + Holocinta/Nota/Entrada | Registro local de Collegiate administration building — Cuartos u oficinas | Collegiate administration building | U-0178 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0399 | Terminal + Holocinta/Nota/Entrada | Registro local de Kendall Hospital — Vestibulo / recepcion | Kendall Hospital | U-0182 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0400 | Terminal + Holocinta/Nota/Entrada | Registro local de Kendall Hospital — Cuartos u oficinas | Kendall Hospital | U-0182 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0401 | Terminal + Holocinta/Nota/Entrada | Registro local de Cambridge Polymer Labs — Recepcion u oficina | Cambridge Polymer Labs | U-0183 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0402 | Terminal + Holocinta/Nota/Entrada | Registro local de Cambridge Polymer Labs — Laboratorio o zona tecnica | Cambridge Polymer Labs | U-0183 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0403 | Terminal + Holocinta/Nota/Entrada | Registro local de The Institute — Laboratorios | The Institute | U-0185 | Laboratorios | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0404 | Terminal + Holocinta/Nota/Entrada | Registro local de The Institute — Mando y direccion | The Institute | U-0185 | Mando y direccion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0405 | Terminal + Holocinta/Nota/Entrada | Registro local de BADTFL regional office — Vestibulo / recepcion | BADTFL regional office | U-0189 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0406 | Terminal + Holocinta/Nota/Entrada | Registro local de BADTFL regional office — Cuartos u oficinas | BADTFL regional office | U-0189 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0407 | Terminal + Holocinta/Nota/Entrada | Registro local de Bunker Hill — Punto de control exterior | Bunker Hill | U-0190 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0408 | Terminal + Holocinta/Nota/Entrada | Registro local de Bunker Hill — Sala de mando / comunicaciones | Bunker Hill | U-0190 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0409 | Terminal + Holocinta/Nota/Entrada | Registro local de Bunker Hill — Torretas / sensores / terminales | Bunker Hill | U-0190 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0410 | Terminal + Holocinta/Nota/Entrada | Registro local de Wreck of the USS Riptide — Oficina o edificio principal | Wreck of the USS Riptide | U-0192 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0411 | Terminal + Holocinta/Nota/Entrada | Registro local de Police Precinct 8 — Punto de control exterior | Police Precinct 8 | U-0195 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0412 | Terminal + Holocinta/Nota/Entrada | Registro local de Police Precinct 8 — Sala de mando / comunicaciones | Police Precinct 8 | U-0195 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0413 | Terminal + Holocinta/Nota/Entrada | Registro local de Police Precinct 8 — Torretas / sensores / terminales | Police Precinct 8 | U-0195 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0414 | Terminal + Holocinta/Nota/Entrada | Registro local de Parkview Apartments — Vestibulo / recepcion | Parkview Apartments | U-0196 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0415 | Terminal + Holocinta/Nota/Entrada | Registro local de Parkview Apartments — Cuartos u oficinas | Parkview Apartments | U-0196 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0416 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Street sewer — Vestibulo o control de acceso | Fens Street sewer | U-0197 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0417 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Street sewer — Sala tecnica / generadores | Fens Street sewer | U-0197 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0418 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Street sewer — Oficinas o sala de seguridad | Fens Street sewer | U-0197 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0419 | Terminal + Holocinta/Nota/Entrada | Registro local de Diamond City — Casa del alcalde y oficinas | Diamond City | U-0198 | Casa del alcalde y oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0420 | Terminal + Holocinta/Nota/Entrada | Registro local de Diamond City market — Casa del alcalde y oficinas | Diamond City market | U-0199 | Casa del alcalde y oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
